,Caseload ID,Caseload Level,Run Number,Week Number
452,pwp_2,37,0,15
453,pwp_3,43,0,15
454,pwp_4,35,0,15
455,pwp_5,37,0,15
456,pwp_6,35,0,15
457,pwp_7,34,0,15
458,pwp_8,36,0,15
459,pwp_9,37,0,15
460,pwp_10,40,0,15
461,pwp_11,42,0,15
462,cbt_0,24,0,15
463,cbt_1,23,0,15
464,cbt_2,22,0,15
465,cbt_3,24,0,15
466,cbt_4,24,0,15
467,cbt_5,22,0,15
468,cbt_6,24,0,15
469,cbt_7,22,0,15
470,cbt_8,24,0,15
471,cbt_9,24,0,15
472,cbt_10,25,0,15
473,cbt_11,23,0,15
474,cbt_12,24,0,15
475,cbt_13,25,0,15
476,couns_0,20,0,15
477,couns_1,14,0,15
478,couns_2,21,0,15
479,couns_3,21,0,15
480,pwp_0,40,0,16
481,pwp_1,39,0,16
482,pwp_2,36,0,16
483,pwp_3,45,0,16
484,pwp_4,33,0,16
485,pwp_5,39,0,16
486,pwp_6,38,0,16
487,pwp_7,36,0,16
488,pwp_8,37,0,16
489,pwp_9,36,0,16
490,pwp_10,39,0,16
491,pwp_11,42,0,16
492,cbt_0,25,0,16
493,cbt_1,23,0,16
494,cbt_2,23,0,16
495,cbt_3,24,0,16
496,cbt_4,24,0,16
497,cbt_5,22,0,16
498,cbt_6,24,0,16
499,cbt_7,23,0,16
500,cbt_8,24,0,16
501,cbt_9,24,0,16
502,cbt_10,25,0,16
503,cbt_11,23,0,16
504,cbt_12,24,0,16
505,cbt_13,24,0,16
506,couns_0,19,0,16
507,couns_1,14,0,16
508,couns_2,21,0,16
509,couns_3,20,0,16
510,pwp_0,41,0,17
511,pwp_1,40,0,17
512,pwp_2,36,0,17
513,pwp_3,45,0,17
514,pwp_4,30,0,17
515,pwp_5,39,0,17
516,pwp_6,40,0,17
517,pwp_7,35,0,17
518,pwp_8,35,0,17
519,pwp_9,37,0,17
520,pwp_10,40,0,17
521,pwp_11,42,0,17
522,cbt_0,24,0,17
523,cbt_1,23,0,17
524,cbt_2,23,0,17
525,cbt_3,24,0,17
526,cbt_4,24,0,17
527,cbt_5,22,0,17
528,cbt_6,24,0,17
529,cbt_7,24,0,17
530,cbt_8,24,0,17
531,cbt_9,23,0,17
532,cbt_10,25,0,17
533,cbt_11,23,0,17
534,cbt_12,24,0,17
535,cbt_13,24,0,17
536,couns_0,19,0,17
537,couns_1,13,0,17
538,couns_2,21,0,17
539,couns_3,19,0,17
540,pwp_0,39,0,18
541,pwp_1,42,0,18
542,pwp_2,34,0,18
543,pwp_3,45,0,18
544,pwp_4,31,0,18
545,pwp_5,39,0,18
546,pwp_6,42,0,18
547,pwp_7,39,0,18
548,pwp_8,35,0,18
549,pwp_9,36,0,18
550,pwp_10,40,0,18
551,pwp_11,41,0,18
552,cbt_0,24,0,18
553,cbt_1,23,0,18
554,cbt_2,23,0,18
555,cbt_3,24,0,18
556,cbt_4,24,0,18
557,cbt_5,22,0,18
558,cbt_6,24,0,18
559,cbt_7,24,0,18
560,cbt_8,24,0,18
561,cbt_9,22,0,18
562,cbt_10,25,0,18
563,cbt_11,23,0,18
564,cbt_12,24,0,18
565,cbt_13,24,0,18
566,couns_0,19,0,18
567,couns_1,13,0,18
568,couns_2,20,0,18
569,couns_3,19,0,18
570,pwp_0,38,0,19
571,pwp_1,43,0,19
572,pwp_2,32,0,19
573,pwp_3,46,0,19
574,pwp_4,31,0,19
575,pwp_5,40,0,19
576,pwp_6,42,0,19
577,pwp_7,38,0,19
