,Week Number,Referral Screen Mins,Referrals Rejected,Referrals Delay Opt-in,Referrals Opted-in,Referrals Wait Opt-in,TA Total Accept,Run
36,36,72950.25564911655,1118.0,0.37818790444508693,1337.0,1.4664459711203262,166.0,1
37,37,75118.93257009826,1150.0,0.3779840541047078,1377.0,1.4727345997651586,171.0,1
38,38,77263.6935115431,1188.0,0.3774587787757459,1415.0,1.4735115167544588,175.0,1
39,39,79492.37784953663,1214.0,0.37777154931537,1465.0,1.4740537061673045,180.0,1
40,40,81458.01888912485,1240.0,0.3776531545412621,1505.0,1.4757070279426234,185.0,1
41,41,83891.90524016427,1272.0,0.3764546425223581,1547.0,1.4729839849892903,190.0,1
42,42,85945.5124037666,1304.0,0.37750699853894515,1588.0,1.4780247616408035,194.0,1
43,43,87978.54979372921,1329.0,0.37829969566507615,1632.0,1.4788159421977518,198.0,1
44,44,90307.04123308058,1364.0,0.3774589406845781,1675.0,1.4852207658202103,203.0,1
45,45,92442.52653062699,1399.0,0.3769195072455208,1715.0,1.482395137673332,207.0,1
46,46,94611.0823814569,1430.0,0.376748480352662,1755.0,1.4857238351786846,211.0,1
47,47,96829.67301672531,1465.0,0.376449678376766,1798.0,1.4836788703278125,216.0,1
48,48,98832.51502197498,1501.0,0.3775317966553226,1833.0,1.482353976949492,220.0,1
49,49,100886.65705217089,1536.0,0.3771694491522816,1867.0,1.4807945499179596,225.0,1
50,50,102871.89145576143,1564.0,0.3775947240557973,1902.0,1.4860904180085057,229.0,1
51,51,104605.73669319927,1585.0,0.37697153957271906,1934.0,1.4854816192751599,234.0,1
0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,1,1696.7265046780717,28.0,0.36821555094065644,28.0,1.7234252967677597,5.0,2
2,2,3940.8950214416946,64.0,0.2801088285517573,58.0,1.39634503401339,10.0,2
3,3,6548.999920817245,104.0,0.32418790711082346,102.0,1.56498380331822,15.0,2
4,4,9006.76279332107,135.0,0.3447661078911684,149.0,1.4459943579829497,20.0,2
5,5,11340.849314074674,174.0,0.3490670302903063,188.0,1.4617375509619253,25.0,2
6,6,13619.086833931968,208.0,0.360866506270942,224.0,1.4670096752515391,30.0,2
7,7,15943.922283302674,239.0,0.36562637329374625,273.0,1.4722399920343423,35.0,2
8,8,18259.889309252918,273.0,0.3675686231808813,319.0,1.4851835499316064,40.0,2
9,9,20327.926898168902,304.0,0.3682240631367549,362.0,1.491029769293054,45.0,2
10,10,22454.740098094735,338.0,0.3656386757978207,394.0,1.4528241679254086,50.0,2
11,11,24687.689961621712,364.0,0.3659076004411596,430.0,1.4401250048077128,54.0,2
12,12,27067.047498595755,389.0,0.3668106601310334,480.0,1.4396712997144112,59.0,2
13,13,29008.202469544434,411.0,0.36486794749928364,514.0,1.4229249753050992,63.0,2
14,14,30812.09058364547,436.0,0.36015276384351097,541.0,1.4119842152775797,68.0,2
15,15,32396.08795899345,463.0,0.3602321377780162,571.0,1.4169694048325636,73.0,2
16,16,34365.87920066633,495.0,0.358949046591272,605.0,1.4192414810107652,78.0,2
